Category,Text
sport,henman to face saulnier test british number one tim henman will face france s cyril saulnier in the first round of next week s australian open.  greg rusedski  the british number two  is in the same quarter of the draw and could face andy roddick in the second round if he beats swede jonas bjorkman. local favourite lleyton hewitt will meet france s arnaud clement  while defending champion and world number one roger federer faces fabrice santoro. women s top seed lindsay davenport drew spanish veteran conchita martinez.  henman came from two sets down to defeat saulnier in the first round of the french open last year  so he knows he faces a tough test in melbourne. the seventh seed  who has never gone beyond the quarter-finals in the year s first major and is lined up to meet roddick in the last eight  is looking forward to the match.  he s tough player on any surface  he s got a lot of ability   he said.  we had a really tight one in paris that went my way so i m going to need to play well from the outset because he s a dangerous competitor.  switzerland s federer  seeded one  is the hot favourite having won three of the four grand slam titles in 2004. he has beaten santoro in five of their seven previous encounters  but is taking nothing for granted.  it s a tricky match   federer said.  i played him at the us open and won quite comfortably then. but you never know  if the rhythm is a bit off  he can keep you guessing and make it difficult.  the most important thing  though  is to get used to playing five-set matches and winning them.  the 23-year-old could meet four-time champion andre agassi in the quarter-finals before meeting russian marat safin  the player he beat in last year s final.  eighth-seeded american agassi is set to play a qualifier in round one if he can shake off a hip injury which ruled him out of the kooyong classic. second seed andy roddick will open his campaign against irakli labadze of georgia. the american could meet rusedski in the second round  seventh seed henman in the quarter-finals and hewitt in the last four. hewitt is hoping to become the first australian man to win the event since mark edmondson in 1976. the 23-year-old has never been beyond round four in eight attempts at melbourne park but has at least secured the opposite half of the draw to federer  who beat him in the australian open  wimbledon and us open last year. safin  seeded four  opens his campaign against a qualifier with 16th seed tommy haas  the player he beat in the semi-finals in 2002  a possible fourth-round opponent.  in the women s draw  davenport could encounter eighth-seeded venus williams in the quarter-finals and third-ranked anastasia myskina  the french open champion  in the semi-finals. bronchitis ruled davenport  the 2000 australian open champion  out of her sydney quarter-final on thursday. venus williams  who lost to younger sister serena in the melbourne final two years ago  opens against eleni daniilidou of greece. serena williams  who won her fourth consecutive grand slam at the 2003 australian open  was drawn in the bottom quarter with second seed amelie mauresmo  a runner-up in 1999. serena will open against another frenchwoman camille pin  while mauresmo plays australia s samantha stosur. wimbledon champion maria sharapova  seeded fourth  drew a qualifier in the first round but could meet fellow russian svetlana kuznetsova  the us open winner  in the last eight  1 roger federer (switzerland)  2 andy roddick (us)  3 lleyton hewitt (australia)  4 marat safin (russia)  5 carlos moya (spain)  6 guillermo coria (argentina)  7 tim henman (britain)  8 andre agassi (us)  9 david nalbandian (argentina)  10 gaston gaudio (argentina)  11 joachim johansson (sweden)  12 guillermo canas (argentina)  13 tommy robredo (spain)  14 sebastien grosjean (france)  15 mikhail youzhny (russia)  16 tommy haas (germany)  17 andrei pavel (romania)  18 nicolas massu (chile)  19 vincent spadea (us)  20 dominik hrbaty (slovakia)  21 nicolas kiefer (germany)  22 ivan ljubicic (croatia)  23 fernando gonzalez (chile)  24 feliciano lopez (spain)  25 juan ignacio chela (argentina)  26 nikolay davydenko (russia)  27 paradorn srichaphan (thailand)  28 mario ancic (croatia)  29 taylor dent (us)  30 thomas johansson (sweden)  31 juan carlos ferrero (spain)  32 jurgen melzer (austria)  1 lindsay davenport (us)  2 amelie mauresmo (france)  3 anastasia myskina (russia)  4 maria sharapova (russia)  5 svetlana kuznetsova (russia)  6 elena dementieva (russia)  7 serena williams (us)  8 venus williams (us)  9 vera zvonareva (russia)  10 alicia molik (australia)  11 nadia petrova (russia)  12 patty schnyder (switzerland)  13 karolina sprem (croatia)  14 francesca schiavone (italy)  15 silvia farina elia (italy)  16 ai sugiyama (japan)  17 fabiola zuluaga (colombia)  18 elena likhovtseva (russia)  19 nathalie dechy (france)  20 tatiana golovin (france)  21 amy frazier (us)  22 magdalena maleeva (bulgaria)  23 jelena jankovic (serbia and montenegro)  24 mary pierce (france)  25 lisa raymond (us)  26 daniela hantuchova (slovakia)  27 anna smashnova (israel)  28 shinobu asagoe (japan)  29 gisela dulko (argentina)  30 flavia pennetta (italy)  31 jelena kostanic (croatia)  32 iveta benesova (czech republic)
politics,uk will stand firm on eu rebate  britain s £3bn eu rebate is not up for renegotiation at next week s european council summit  jack straw said.  the foreign secretary told mps the rebate  secured by margaret thatcher in 1984  was  entirely justified . new european commission president jose manuel barroso has suggested the cash could be shared out among net contributors to the eu budget. mr straw acknowledged some countries in the newly enlarged 25 nation eu still had to  see the light  on the rebate.  but the foreign secretary told the commons foreign affairs committee:  our position is very clear: it is entirely justified and it is not for negotiation.  he added that he did not think there would be a political price to pay for the uk s stance - britain contributed more and received less than other eu states. the two-day european council summit in brussels begins on 16 december and is widely expected to mark the beginning of a lengthy negotiating period over the eu s budget for 2007-13. the wrangling could stretch into 2005  even 2006.  the uk  france  germany  austria  the netherlands and sweden want the eu budget to be capped at 1% of member states  combined national incomes - the commission wants it to be 1.26%. mr straw said the eu commission s proposal would mean a 35% hike in the budget.  i don t know of any national government thinking of increasing its budget by that amount   he added. the foreign secretary said he hoped the talks next week could produce a date in 2005 for the beginning of negotiations with turkey about possible eu membership although that there would be no prospect of a date for joining for some time.
politics,security papers  found in street  an inquiry is under way after files containing security details about the pakistani president s visit to london were found by a member of the public.  the files are believed to contain detailed security arrangements for gen pervez musharraf s visit this week  including police codes. scotland yard said the policing operation had been reviewed. a spokesman said president musharraf s safety had not been compromised  as the papers had been handed in promptly.  we cannot discuss who was responsible for the documents  only that they contained the policing arrangements for the official visit   said the spokesman.  the papers are believed to have been found by a member of the public in a street in mayfair and given to the mirror newspaper. the police spokesman said the newspaper handed the report over on monday. the force s directorate of professional standards is investigating the circumstances surrounding the loss of the documents  he said. gen musharraf held talks with tony blair on monday. he arrived in britain on sunday night after flying from the united states  where he met president george w bush. he is due to visit the pakistani community in manchester on tuesday afternoon.
sport,philippoussis doubt over open bid mark philippoussis is almost certain to miss the australian open after suffering a groin injury during the hopman cup loss to the netherlands.  the 28-year-old suffered two tears to the adductor muscle and was unable to play in the deciding mixed doubles. he is now unlikely to be fit in time for the australian open which begins on 17 january in melbourne.  he has to strengthen it enough to cope with repetitive days of tennis   said hopman cup doctor hamish osborne.  it would be very unlikely in my opinion for him to do a five-setter once  let alone two days in a row  inside two weeks.   the injury is more common in australian rules football  and a fit footballer would normally take three to four weeks to recover fully although mark s injury is slightly different.  the australian has suffered a host of injury problems throughout his career but is still holding out slim hope that he can make the event.  it s something i ll have to go by feel. i ll start treatment as soon as possible and try to strengthen it without tearing it any more   he said.  what doesn t kill you makes you stronger. i know i can come back from this and that s all that matters.  - former world number two tommy haas is also a doubt for the australian open after picking up a thigh injury playing for germany in the hopman cup. the 26-year-old had treatment on his left thigh while leading argentine guillermo coria 7-5 2-2. he played one more game  but his movement was hampered and he quit.
sport,corry backs skipper robinson england forward martin corry says jason robinson is the right man to lead the national team back to winning ways.  after losses to wales and france  critics have started to wonder whether robinson can captain from full-back. but corry has backed robinson  who was given the role after the injury to fly-half jonny wilkinson  ahead of this weekend s trip to ireland.  jason is doing a tremendous job. every week my respect for him goes up   corry told bbc radio five live.  he is an inspirational captain. when he talks with the squad he talks with a lot of sense.  the players have a lot of respect for him. it s an honour to be in the england side and an honour to play under him.   england are under immense pressure following their poor start to the year and victory is vital if they are to rescue their six nations campaign. but corry insists england are in the right frame of mind for the contest.  there is apprehension going into every game   he added.  but you have to use that fear and put it into a positive mindset.  when the whistle goes on sunday  what has happened in the past does not count for anything.   we have not performed but if we put in a performance on sunday then we can start turning results around.  there are a lot of changes taking place with england and we are at the start of something. we have not got off to the greatest of starts but you need to experience the bad the before you can fully appreciate the good.   a trip to lansdowne road is daunting at any time  especially against an ireland side that are flying high after two impressive wins. they are the form team of the tournament and are tipped to claim their first grand slam since 1948. but corry is relishing the prospect of taking on the irish in their own backyard.  they are full of confidence and are playing a great team game   he said.  the forwards are creating a great platform and they have explosive runners out wide.  if you look at the team on paper  they have stars from one to 15. it s a huge task but it is a great opportunity for us.  lansdowne road is a tremendous venue to play in and we have to use it to our advantage.
sport,yachvili savours france comeback france scrum-half dimitri yachvili praised his team after they fought back to beat england 18-17 in the six nations clash at twickenham.  yachvili kicked all of france s points as they staged a second-half revival.  we didn t play last week against scotland and we didn t play in the first half against england   he said.  but we re very proud to beat england at twickenham. we were just defending in the first half and we said we had to put them under pressure. we did well.  yachvili admitted erratic kicking from england s charlie hodgson and olly barkley  who missed six penalties and a drop goal chance between them  had been decisive.  i know what it s like with kicking. when you miss some it s very hard mentally  but it went well for us   he said. france captain fabien pelous insisted his side never doubted they could secure their first win against england at twickenham since 1997. france were 17-6 down at half-time  but pelous said:  no-one was down at half-time  we were still confident.  we said we only had 11 points against us  which was not much.  the plan was to keep hold of possession and pressure england to losing their composure.  france coach bernard laporte accepted his side had not played well.  we know we have to play better to defend the title   he said.  i m not happy we didn t score a try but we re happy because we won.
sport,prop jones ready for hard graft adam jones says the wales forwards are determined to set the perfect attacking platform for the backs by dominating the powerful france pack in paris.  the prop said:  if we get stuffed in the front five our backs have had it.  the mentality of the french is  scrum  scrum  scrum . we will see how good france are and the scrum is the key.  i just hope [the backs] carry on where they left off against italy. it s just up to us in the forwards to win the ball and give them the opportunity.  wales have won two of their last three visits to stade de france  having secured back-to-back wins under graham henry in 1999 and 2001. and with the likes of shane williams and gavin henson finding top form at the right time  mike ruddock s team is now one of international rugby s most potent attacking threats.  gavin is ridiculously talented. he has been bouncing around the place this week  so he is up for it   warned jones.  france have been criticised for their uncharacteristic one-dimensional play in their victories over scotland and france. captain fabien pelous has acknowledged his side needs to show more attacking flair  but stressed the game with be won or lost up front. the lock believes the welsh forwards are not big enough to trouble his side in the scrum or line-out  but jones insisted his fellow front-row colleagues have nothing to fear.   gethin [jenkins] won t be intimidated tomorrow  none of us will   said jones  who will be facing france for the first time.  we will go out there and front up and hopefully get the ball out to the backs.  me and gethin are quite young so it is good to have someone of mefin s experience in there.  mefin is a good thinker who puts things across. but what is the saying  if you are good enough you are old enough and gethin certainly is.  he is a really good player and i imagine he will be on the lions tour [to new zealand this summer].
sport,mcleish ready for criticism rangers manager alex mcleish accepts he is going to be criticised after their disastrous uefa cup exit at the hands of auxerre at ibrox on wednesday.  mcleish told bbc radio five live:  we were in pole position to get through to the next stage but we blew it  we absolutely blew it.  there s no use burying your head in the sand  we know we are going to get a lot of criticism.  we have to take it as we have done in the past and we must now bounce back.  mcleish admitted his team s defending was amateurish after watching them lose 2-0 to guy roux s french side.   i m very disappointed because we didn t give ourselves a chance  losing the first goal from our own corner. it was amateur   he added.  the early goal in the second half gave us a mountain to climb and we never created the same kind of chances as we did in the first half.  it s difficult to take positives from the game. we ve let the fans down.
sport,premier league planning cole date the premier league is attempting to find a mutually convenient date to investigate allegations chelsea made an illegal approach for ashley cole.  both chelsea and arsenal will be asked to give evidence to a premier league commission  but no deadline has been put on when that meeting will convene.  it s hard to put a date on it   a premier league spokesman confirmed to bbc sport.  it s not a formal situation where they ve got so much time to respond.  arsenal and england defender cole reportedly met blues boss jose mourinho and chief executive peter kenyon in a london hotel 11 days ago. chelsea have yet to officially confirm or deny the meeting  which would be in breach of premier league rule k3.  now the gunners have asked for an inquiry to look into claims that their player has been  tapped up . both clubs have pledged to co-operate with the inquiry which will be conducted on a single day as opposed to being run as an ongoing evaluation. cole is in negotiations with the gunners over extending his current deal which ends in 2007. and his arsenal team-mate robert pires has urged the england left-back to stay at highbury. pires told the evening standard:  he has been at arsenal for ever. he is a very attacking left-back and i think he is enjoying his football because at arsenal he plays in an offensive team.  i am not sure he will get the same pleasure at chelsea  even though they are doing so well at the moment.  i have built a fantastic playing relationship with ashley.  we play together so well - we could do it with our eyes shut.  but you have to respect the decision of the player. everybody has that right.
sport,mourinho defiant on chelsea form chelsea boss jose mourinho has insisted that sir alex ferguson and arsene wenger would swap places with him.  mourinho s side were knocked out of the fa cup by newcastle last sunday before seeing barcelona secure a 2-1 champions league first-leg lead in the nou camp. but he denied his club was suffering a dip in form which league rivals arsenal and manchester united could exploit.  they cannot speak to us about blips because they re not in a better position than us   mourinho said.  do they want to change positions with us  we are top of the league by nine points and in the carling cup final.  the only thing they can say they are in a better position than us in is the fa cup.  in the champions league all three teams can either go through or go out but the one team that is in the best position is still chelsea.   mourinho said it was important to keep his team s results in perspective.  don t try to put pressure on me because i am never under pressure   he warned.  we have lost one important game this week - at newcastle - and we re out of the fa cup but i don t think a defeat in a first-leg tie is a real defeat. we are just 2-1 down at half-time.  asked if his chelsea honeymoon was now over  mourinho replied:  i have had 20 years of honeymoons with my wife.  the day that this club is not happy with me is the day that i go.
politics,mps quiz aides over royal income senior officials at the two bodies generating private income for the queen and prince of wales are to be questioned by mps.  aides from the duchy of lancaster and duchy of cornwall will appear before the commons public accounts committee. it has been reported they could be questioned about prince charles  spending on camilla parker bowles. but bbc correspondent peter hunt said they are not responsible for how money is spent and may be unable to answer. duchy officials  who will appear before the committee on monday  are only responsible for generating money. the duchy of lancaster provides the queen s private income  while the duchy of cornwall provides prince charles  annual income. the duchy of cornwall is a 140 000-acre estate across 25 counties  and also includes residential properties  shops  offices  stocks and shares. it was set up in 1337 by king edward iii to provide income for successive heirs to the throne. it covers the cost of the prince s public and private life - neither charles  nor william and harry  receive taxpayers  money from the civil list. however  the prince of wales did receive over £4m from government departments and grants-in-aid in 2003-4. the duchy last year generated almost £12m. the prince has voluntarily paid income tax - currently 40% - since 1993.
sport,federer claims dubai crown world number one roger federer added the dubai championship trophy to his long list of successes - but not before he was given a test by ivan ljubicic.  top seed federer looked to be on course for a easy victory when he thumped the eighth seed 6-1 in the first set. but ljubicic  who beat tim henman in the last eight  dug deep to secure the second set after a tense tiebreak. swiss star federer was not about to lose his cool  though  turning on the style to win the deciding set 6-3. the match was a re-run of last week s final at the world indoor tournament in rotterdam  where federer triumphed  but not until ljubicic had stretched him for five sets.  i really wanted to get off to a good start this time  and i did  and i could really play with confidence while he still looking for his rhythm   federer said.   that took me all the way through to 6-1 3-1 0-30 on his serve and i almost ran away with it. but he came back  and that was a good effort on his side.  ljubicic was at a loss to explain his poor showing in the first set.  i didn t start badly  but then suddenly i felt like my racket was loose and the balls were flying a little bit too much. and with roger  if you relax for a second it just goes very quick   he said.  after those first three games it was no match at all. i don t know  it was really weird. i was playing really well the whole year  and then suddenly i found myself in trouble just to put the ball in the court.  but despite his defeat  the world number 14 was pleased with his overall performance.  i had a chance in the third  and for me it s really positive to twice in two weeks have a chance against roger to win the match.  it s an absolutely great boost to my confidence that i m up there and belong with top-class players.
sport,calder fears for scottish rugby former scotland international finlay calder fears civil war at the sru could seriously hamper his country s rbs six nations campaign.  four members of the executive board  including the chairman  david mackay  have resigned after a simmering row. and calder said:  this is terrible news for every level of scottish rugby.  david is a successful businessman and i thought that if anybody could transform the negative atmosphere and rising debt level  it was him.  mackay s executive board has been in a power struggle with the general committee  which contains members elected by scotland s club sides.  he has been driven out by people who seem happier waging civil war than addressing the central issue that professional rugby can t be run by amateurs   said calder.   in fact  i don t understand why we are still having this argument 10 years after professionalism arrived.  but i don t believe the rest of the sru will take this lying down.  i think the banks will be dismayed at this decision and  ultimately  it is them who pull the strings.  so i wouldn t be surprised if they reviewed their position. but  in the wider picture  what message does this send out   he thought the work of scotland s coaches  who have been attempting to arrest the decline of the national side  would be made much more difficult.  matt williams and willie anderson must be wondering   what have we walked into here    said calder.  and we can now expect weeks of arguments and acrimony just at a time when we should be looking forward to the six nations championship.  i am very  very disappointed  more than you can imagine. why do so many scots have this knack of turning on each other when the going gets tough
